codigoEstacao;nomeEstacao;nivelConsistencia;valorMeo;origem_valorMeo;Latitude;Longitude;codigoRio;nomeRio;codigoBacia;nomeBacia;siglaUF;codigoMunicipio;nomeMunicipio;siglaResponsavel;siglaOperadora;statusApi;dtCadastro;dtAtualizacao
13430000;ESEC RIO ACRE;2;-99;Via Arquivo Csv;-11,051;-70,216;13330000;RIO ACRE;1;RIO AMAZONAS;AC;2001000;ASSIS BRASIL;ANA;SGB-CPRM;True;2024-10-03 22:52:20;2024-10-31 01:32:20
13438000;ASSIS BRASIL;2;-99;Via Arquivo Csv;-10,945;-69,564;13330000;RIO ACRE;1;RIO AMAZONAS;AC;2001000;ASSIS BRASIL;SEMA-AC;SEMA-AC;True;2024-10-03 22:52:20;2024-11-16 02:07:07
13439000;ALDEIA DOS PATOS;2;-1;Via Arquivo Csv;-10,926;-69,923;13330000;RIO ACRE;1;RIO AMAZONAS;AC;2001000;ASSIS BRASIL;ANA;SGB-CPRM;True;2024-10-03 22:52:20;2024-10-31 01:32:20
13450000;ASSIS BRASIL;2;1050.6363636363637;Via Arquivo Csv;-10,944;-69,566;13330000;RIO ACRE;1;RIO AMAZONAS;AC;2001000;ASSIS BRASIL;ANA;SGB-CPRM;True;2024-10-03 22:52:20;2024-10-31 01:32:20
13450010;ASSIS BRASIL - CPRM;2;-99;Via Arquivo Csv;-10,944;-69,566;13330000;RIO ACRE;1;RIO AMAZONAS;AC;2001000;ASSIS BRASIL;SGB-CPRM;SGB-CPRM;True;2024-10-03 22:52:20;2024-10-31 01:32:20
13459000;BRASILÉIA;2;-99;Via Arquivo Csv;-11,016;-68,751;13330000;RIO ACRE;1;RIO AMAZONAS;AC;2002000;BRASILÉIA;SEMA-AC;SEMA-AC;True;2024-10-03 22:52:20;2024-10-23 21:35:02
13460000;BRASILÉIA (Ponte Internacional Wilson Pinheiro);2;-99;Via Arquivo Csv;-11,016;-68,751;13330000;RIO ACRE;1;RIO AMAZONAS;AC;2002000;BRASILÉIA;SEMA-AC;SEMA-AC;True;2024-10-03 22:52:20;2024-10-23 21:35:02
13470000;BRASILÉIA;2;-99;Via Arquivo Csv;-11,018;-68,745;13330000;RIO ACRE;1;RIO AMAZONAS;AC;2002000;BRASILÉIA;ANA;SGB-CPRM;True;2024-10-03 22:52:20;2024-10-23 21:35:02
13470010;BRASILÉIA - CPRM;2;-99;Via Arquivo Csv;-11,018;-68,745;13330000;RIO ACRE;1;RIO AMAZONAS;AC;2002000;BRASILÉIA;SGB-CPRM;SGB-CPRM;True;2024-10-03 22:52:20;2024-10-23 21:35:02
13568000;CAPIXABA (Colocação São José);2;-99;Via Arquivo Csv;-10,389;-67,935;13330000;RIO ACRE;1;RIO AMAZONAS;AC;2002800;CAPIXABA;ANA;SGB-CPRM;True;2024-10-03 22:52:20;2024-10-23 21:35:02
12500000;CRUZEIRO DO SUL;2;-99;Via Arquivo Csv;-7,633;-72,66;12200000;RIO JURUÁ;1;RIO AMAZONAS;AC;2003000;CRUZEIRO DO SUL;ANA;ÁGUA E SOLO;True;2024-10-03 22:52:20;2024-10-23 21:35:02
12500002;CRUZEIRO DO SUL;2;-99;Via Arquivo Csv;-7,633;-72,662;12200000;RIO JURUÁ;1;RIO AMAZONAS;AC;2003000;CRUZEIRO DO SUL;ANA;ANA;True;2024-10-03 22:52:20;2024-10-23 21:35:02
12500003;CRUZEIRO DO SUL - AUXILIAR;2;-99;Via Arquivo Csv;-7,633;-72,662;12200000;RIO JURUÁ;1;RIO AMAZONAS;AC;2003000;CRUZEIRO DO SUL;DNIT;DNIT;True;2024-10-03 22:52:20;2024-10-23 21:35:02
12500004;CRUZEIRO DO SUL;2;-99;Via Arquivo Csv;-7,633;-72,662;12200000;RIO JURUÁ;1;RIO AMAZONAS;AC;2003000;CRUZEIRO DO SUL;SEMA-AC;SEMA-AC;True;2024-10-03 22:52:20;2024-10-23 21:35:02
12500900;COMUNIDADE GUARANI;2;-99;Via Arquivo Csv;-7,973;-72,044;12253000;RIO LIBERDADE;1;RIO AMAZONAS;AC;2003000;CRUZEIRO DO SUL;ANA;CONSTRUFAM;True;2024-10-03 22:52:20;2024-10-23 21:35:02
13490000;EPITACIOLÂNDIA (Colônia São Bento);2;-99;Via Arquivo Csv;-10,896;-68,608;13330000;RIO ACRE;1;RIO AMAZONAS;AC;2003400;EPITACIOLÂNDIA;ANA;SGB-CPRM;True;2024-10-03 22:52:20;2024-10-23 21:35:02
12640000;SERINGAL SANTA HELENA;2;-99;Via Arquivo Csv;-8,686;-70,551;12286000;RIO ENVIRA;1;RIO AMAZONAS;AC;2004000;FEIJÓ;ANA;ÁGUA E SOLO;True;2024-10-03 22:52:20;2024-10-23 21:35:02
12650000;FEIJÓ;2;-99;Via Arquivo Csv;-8,164;-70,356;12286000;RIO ENVIRA;1;RIO AMAZONAS;AC;2004000;FEIJÓ;ANA;ÁGUA E SOLO;True;2024-10-03 22:52:20;2024-10-23 21:35:02
12660000;FEIJÓ;2;-99;Via Arquivo Csv;-8,137;-70,346;12286000;RIO ENVIRA;1;RIO AMAZONAS;AC;2004000;FEIJÓ;SEMA-AC;SEMA-AC;True;2024-10-03 22:52:20;2024-10-23 21:35:02
12670000;FEIJÓ;2;-99;Via Arquivo Csv;-7,853;-70,063;12286000;RIO ENVIRA;1;RIO AMAZONAS;AC;2004000;FEIJÓ;SEMA-AC;SEMA-AC;True;2024-10-03 22:52:20;2024-10-23 21:35:02
12557000;JORDÃO;2;-99;Via Arquivo Csv;-9,188;-71,953;12280000;RIO TARAUACÁ;1;RIO AMAZONAS;AC;2004400;JORDÃO;SEMA-AC;SEMA-AC;True;2024-10-03 22:52:20;2024-10-31 01:18:49
12559000;SERINGAL SÃO LUIZ;2;-99;Via Arquivo Csv;-8,661;-71,574;12280000;RIO TARAUACÁ;1;RIO AMAZONAS;AC;2004400;JORDÃO;ANA;CONSTRUFAM;True;2024-10-03 22:52:20;2024-10-23 21:35:02
